Orbital Period(Hr),Eccentricity,Transit_duration(Hr),Transist dept(ppm),Planet star radius ratio,Planet radius (Earth Radius),Orbital Semi major axis(au),inclination(degree),planet star distance over star radius,stellar effective temperature(K),Stellar radius(solar radius),Stellar mass(solar mass)
0.522457732,0,0.8907,144,0.014601,1.52,0.0125,55.24,1.695,5991,0.954,0.956
0.523493764,0,0.9015,54,0.006805,1.82,0.0141,88.94,4.49,6122,2.455,1.357
0.523629052,0,3.443,122,0.009546,46.33,0.0154,88.24,1.331,4136,44.448,1.777
0.52363021,0,3.45121,367000,0.642432,52.26,0.0113,74.92,2.1104,5407,0.745,0.694
0.523632451,0,1.99,8.1,0.002812,1.08,0.0166,62.62,1.604,8277,3.518,2.225
0.524175803,0,0.7648,237,0.014228,1.27,0.0123,86.42,5.08,5278,0.815,0.911
0.525154153,0,2.1441,748,0.255581,23.61,0.0119,23.56,1.337,5582,0.846,0.819
0.525426427,0,1.0801,325,0.016596,1.45,0.0122,88.3,3.802,5791,0.802,0.889
0.526615152,0,1.0582,64,0.007299,1.46,0.0133,89.59,3.87,5718,1.832,1.131
0.526887517,0,0.8971,120,0.01021,0.58,0.0103,86.17,4.38,3945,0.519,0.515
0.52740121,0,4.807,1320,0.033391,1.49,0.0097,64.17,0.981,3582,0.41,0.431
0.527673051,0,1.631,28.3,0.004956,1.43,0.0143,85.05,2.502,6762,2.637,1.386
0.527673075,0,1.3693,26.1,0.004605,0.42,0.012,87.43,2.991171,5367,0.828,0.817
0.527678272,0,2.33166,248000,0.46755,75.31,0.0125,81.54,2.6188,5321,1.475,0.931
0.527679032,0,1.395,84.1,0.008448,0.79,0.0126,84.3,2.866,5799,0.86,0.955
0.527698548,0,3.2221,1580,0.297633,29.35,0.0128,20.78,1.339,5638,0.903,1.005
0.528755447,0,5.714,409,0.223797,47.75,0.0134,10.53,1.224,6151,1.954,1.158
0.52880817,0,2.2865,57.7,0.007109,1.84,0.0141,75.72,1.751,6224,2.368,1.337
0.530300102,0,2.8502,3040,0.315234,35.73,0.0133,26.93,1.4,6184,1.038,1.1
0.530799654,0,3.487,319,0.016477,2.92,0.014,89.38,1.341,6534,1.622,1.294
0.530959357,0,2.417,84.4,0.008401,0.69,0.0121,78.33,1.722,5325,0.75,0.84
0.530967162,0,3.3659,245,0.182103,23.72,0.0132,12.61,1.195,6449,1.193,1.069
0.530967171,0,3.8102,378000,0.852795,92.29,0.0128,67.68,2.212,5951,0.991,0.983
0.530967987,0,1.812,26.9,0.004833,1.08,0.0163,87.7,2.318,8473,2.052,2.036
0.530972263,0,3.653,48.6,0.086135,9.32,0.0131,8.18,1.09,6185,0.991,1.06
0.531106622,0,3.0293,5130,0.090648,7.54,0.0116,40.97,1.2442,4978,0.762,0.732
0.532086296,0,4.023,496,0.222839,16.99,0.0118,13.57,1.233,5271,0.698,0.773
0.532087933,0,3.45028,510000,0.685266,74.83,0.0129,82.81,2.23204,5780,1,1
0.532493086,0,2.145,19.9,0.004251,1.87,0.0156,71.43,1.751,6894,4.032,1.774
0.532854237,0,3.231,50.9,0.00685,1.21,0.0133,60.98,1.275,6266,1.613,1.108
0.533000886,0,1.54684,4400,0.352317,40.94,0.0124,44.35,1.778,5934,1.064,0.885
0.533059312,0,1.8621,1500,0.301918,133.56,0.0167,29.64,1.452852,8523,4.051,2.166
0.53345831,,1.32,,,,,,,,,
0.533628226,0,5.772,81.8,0.010118,2.41,0.0144,9.74,0.9515,7163,2.177,1.392
0.534109403,0,0.9513,78.3,0.008587,2.28,0.018,82.95,3.88,10747,2.432,2.718
0.53482911,0,0.996,704,0.024733,0.54,0.0072,84.8,3.99,3229,0.201,0.178
0.535224793,0,3.3402,229,0.013487,1.09,0.0115,89.31,1.3901,5044,0.738,0.708
0.535493486,0,2.57,54,0.00696,1.42,0.0144,68.26,1.527,6328,1.864,1.374
0.535578808,0,1.7973,194,0.236948,33.97,0.0135,18.42,1.291,6610,1.313,1.16
0.53633519,0,1.0547,444,0.019776,1.81,0.0127,82.08,3.55,5508,0.84,0.955
0.536544193,0,2.918,160,0.01136,0.9,0.0118,79.86,1.517,5041,0.728,0.766
0.536551592,0,4.89,153,0.114871,12.88,0.0133,9.47,1.117,6140,1.027,1.094
0.5366497,0,2.887,105,0.009349,0.92,0.0129,88.47,1.558,5822,0.898,0.994
